"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,4,ELA,86,87,86,85,85,92,80.20%,60.90%,58.10%,55.30%,54.10%,55.40%,95.60%,84.40%,78.40%,78.80%,81.20%,76.60%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,4,Math,86,87,86,85,84,91,73.30%,56.30%,50.00%,35.30%,56.00%,31.90%,95.80%,78.10%,76.50%,56.70%,81.30%,59.40%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,5,ELA,82,87,89,90,80,90,25.60%,10.30%,33.70%,44.40%,30.00%,28.90%,43.80%,21.70%,47.10%,61.30%,53.00%,53.00%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,5,Math,82,87,89,89,78,89,32.90%,19.50%,14.60%,38.20%,34.60%,10.10%,49.00%,31.00%,28.40%,51.20%,55.50%,27.60%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,6,ELA,86,89,79,90,88,88,43.00%,27.00%,51.90%,40.00%,36.40%,42.00%,63.10%,48.10%,71.20%,57.50%,59.30%,64.00%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,6,Math,86,89,78,90,82,87,54.70%,30.30%,39.70%,42.20%,51.20%,33.30%,74.80%,45.70%,56.80%,60.20%,70.90%,52.30%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,7,ELA,83,85,77,81,90,88,31.30%,34.10%,44.20%,53.10%,45.60%,56.80%,49.80%,52.80%,66.60%,73.50%,63.10%,80.50%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,7,Math,83,85,77,81,88,83,61.40%,42.40%,50.60%,53.10%,44.30%,34.90%,81.00%,64.90%,66.40%,70.60%,58.40%,56.00%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,8,ELA,85,78,82,84,84,88,65.90%,24.40%,53.70%,65.50%,60.70%,52.30%,90.40%,43.80%,77.40%,83.70%,78.10%,76.00%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,8,Math,85,78,82,84,78,86,74.10%,43.60%,57.30%,53.60%,35.90%,48.80%,87.40%,60.30%,69.00%,71.20%,48.20%,71.60%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,4,ELA,87,80,84,87,89,91,56.30%,70.00%,56.00%,42.50%,38.20%,31.90%,82.10%,90.90%,78.90%,62.20%,62.60%,59.80%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,4,Math,85,79,83,87,86,90,44.70%,81.00%,54.20%,27.60%,45.30%,35.60%,78.50%,100.00%,77.40%,40.50%,76.20%,63.00%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,5,ELA,131,123,111,96,78,81,37.40%,27.60%,38.70%,30.20%,30.80%,27.20%,61.70%,48.90%,58.50%,46.20%,59.30%,53.70%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,5,Math,130,121,110,96,69,81,34.60%,28.10%,50.00%,29.20%,37.70%,8.60%,51.90%,43.60%,67.80%,45.10%,63.90%,19.20%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,6,ELA,131,112,110,104,87,63,48.90%,58.00%,60.00%,49.00%,54.00%,33.30%,74.00%,76.70%,76.80%,66.30%,77.10%,51.50%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,6,Math,130,110,110,104,78,61,53.80%,59.10%,53.60%,37.50%,66.70%,9.80%,76.10%,78.40%,73.70%,61.50%,84.70%,25.70%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,7,ELA,55,123,116,99,85,88,47.30%,37.40%,45.70%,41.40%,61.20%,30.70%,67.70%,52.80%,70.20%,63.90%,81.00%,54.10%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,7,Math,55,123,116,98,76,86,25.50%,39.00%,63.80%,52.00%,55.30%,23.30%,46.10%,59.50%,80.50%,73.50%,77.20%,41.50%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,8,ELA,61,50,118,106,89,84,59.00%,60.00%,62.70%,42.50%,49.40%,36.90%,77.10%,74.50%,81.40%,61.70%,71.10%,53.70%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,8,Math,62,50,117,106,86,78,53.20%,64.00%,63.20%,46.20%,46.50%,10.30%,67.60%,77.20%,81.90%,63.60%,68.30%,18.80%
2790013,Amistad Academy District,2795113,Amistad Academy,4,ELA,85,84,85,83,91,92,51.80%,38.10%,64.70%,48.20%,51.60%,38.00%,75.50%,53.40%,89.30%,75.80%,75.00%,66.90%
2790013,Amistad Academy District,2795113,Amistad Academy,4,Math,84,83,85,83,86,91,59.50%,28.90%,57.60%,50.60%,39.50%,39.60%,87.40%,50.10%,84.30%,74.00%,69.70%,71.50%
2790013,Amistad Academy District,2795113,Amistad Academy,5,ELA,85,91,90,79,90,94,45.90%,35.20%,28.90%,32.90%,48.90%,21.30%,69.80%,50.80%,50.30%,54.80%,79.00%,44.70%
2790013,Amistad Academy District,2795113,Amistad Academy,5,Math,85,91,90,79,88,89,36.50%,28.60%,24.40%,40.50%,52.30%,18.00%,60.20%,45.80%,48.60%,59.10%,68.20%,34.70%
2790013,Amistad Academy District,2795113,Amistad Academy,6,ELA,82,85,88,80,84,90,46.30%,31.80%,37.50%,40.00%,48.80%,27.80%,68.40%,50.40%,59.20%,59.70%,71.00%,50.30%
2790013,Amistad Academy District,2795113,Amistad Academy,6,Math,82,85,88,81,78,92,74.40%,65.90%,67.00%,46.90%,38.50%,29.30%,90.20%,83.40%,84.00%,73.20%,61.10%,51.90%
2790013,Amistad Academy District,2795113,Amistad Academy,7,ELA,85,85,87,85,81,83,30.60%,37.60%,29.90%,45.90%,64.20%,55.40%,53.20%,53.20%,48.50%,64.50%,83.90%,81.00%
2790013,Amistad Academy District,2795113,Amistad Academy,7,Math,85,85,86,85,79,82,38.80%,42.40%,37.20%,48.20%,73.40%,62.20%,60.50%,52.10%,51.20%,61.90%,90.10%,84.20%
2790013,Amistad Academy District,2795113,Amistad Academy,8,ELA,76,83,77,83,85,83,46.10%,34.90%,39.00%,43.40%,57.60%,36.10%,69.10%,48.90%,54.10%,63.00%,76.70%,54.80%
2790013,Amistad Academy District,2795113,Amistad Academy,8,Math,75,83,77,79,84,78,69.30%,60.20%,57.10%,38.00%,45.20%,26.90%,83.40%,79.80%,73.20%,55.20%,58.80%,44.40%
0010011,Andover School District,0010111,Andover Elementary School,4,ELA,38,27,26,21,18,21,44.70%,48.10%,65.40%,38.10%,*,42.90%,67.50%,66.20%,79.10%,74.40%,*,73.80%
0010011,Andover School District,0010111,Andover Elementary School,4,Math,38,27,26,21,18,21,34.20%,55.60%,65.40%,33.30%,*,47.60%,71.20%,82.60%,87.30%,63.70%,*,71.80%
0010011,Andover School District,0010111,Andover Elementary School,5,ELA,42,37,26,27,18,17,52.40%,43.20%,53.80%,51.90%,*,*,70.50%,62.80%,84.80%,75.00%,*,*
0010011,Andover School District,0010111,Andover Elementary School,5,Math,42,37,26,27,18,17,52.40%,48.60%,61.50%,55.60%,*,*,76.10%,75.90%,87.90%,84.60%,*,*
0010011,Andover School District,0010111,Andover Elementary School,6,ELA,45,42,35,27,20,17,48.90%,35.70%,62.90%,55.60%,40.00%,*,63.50%,59.40%,79.50%,74.30%,60.60%,*
0010011,Andover School District,0010111,Andover Elementary School,6,Math,47,42,35,27,20,17,59.60%,50.00%,65.70%,51.90%,55.00%,*,79.00%,68.70%,77.70%,70.60%,71.90%,*
0020011,Ansonia School District,0025111,Ansonia Middle School,6,ELA,*,*,*,*,146,171,*,*,*,*,30.80%,21.10%,*,*,*,*,52.10%,43.50%
0020011,Ansonia School District,0025111,Ansonia Middle School,6,Math,*,*,*,*,141,171,*,*,*,*,19.90%,27.50%,*,*,*,*,36.60%,43.80%
0020011,Ansonia School District,0025111,Ansonia Middle School,7,ELA,147,165,158,156,132,162,18.40%,37.00%,20.30%,35.90%,21.20%,22.80%,40.20%,55.30%,37.50%,56.00%,40.90%,45.10%
0020011,Ansonia School District,0025111,Ansonia Middle School,7,Math,147,162,157,155,130,156,27.90%,22.80%,26.10%,25.20%,25.40%,39.70%,48.80%,42.10%,46.20%,41.20%,43.60%,57.40%
0020011,Ansonia School District,0025111,Ansonia Middle School,8,ELA,169,147,174,155,114,156,30.20%,27.90%,29.90%,27.10%,36.00%,22.40%,47.60%,50.70%,47.90%,49.90%,58.80%,41.40%
0020011,Ansonia School District,0025111,Ansonia Middle School,8,Math,168,144,171,155,107,152,37.50%,16.00%,42.70%,24.50%,19.60%,15.80%,54.10%,29.00%,61.40%,33.80%,34.10%,31.10%
